,query,scenario,variable,year_range,file_path
1,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 205101-210012,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,Display the near-surface air temperature data pertaining to the ssp119 CO2 emissions scenario for the period 205101-210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,I need the near-surface air temperature data for the ssp119 CO2 emissions scenario between 205101 and 210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,Could you provide me with the near-surface air temperature data associated with the ssp119 CO2 emissions scenario from 205101 to 210012?,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,Please show me the near-surface air temperature data for the period 205101-210012 under the ssp119 CO2 emissions scenario.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,I'm looking for the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario covering 205101-210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,Could you present the near-surface air temperature data for the ssp119 CO2 emissions scenario during 205101-210012?,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,Show me the near-surface air temperature data relevant to the ssp119 CO2 emissions scenario for the time frame 205101-210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,Please display the near-surface air temperature data for the ssp119 CO2 emissions scenario for the interval 205101 to 210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
1,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 205101-210012,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc
2,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 210101-215012,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,I would like to see the near-surface air temperature data for the ssp119 CO2 emissions scenario spanning from 210101 to 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,Kindly provide me with the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario for the period 210101-215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,I am interested in viewing the near-surface air temperature data associated with the ssp119 CO2 emissions scenario between 210101 and 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,Could you please display the near-surface air temperature data for the ssp119 CO2 emissions scenario as it pertains to the time frame from 210101 to 215012?,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,I'm seeking the near-surface air temperature data pertaining to the ssp119 CO2 emissions scenario covering the period 210101-215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,I am requesting the near-surface air temperature data for the scenario involving ssp119 CO2 emissions for the duration 210101-215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,Show me the near-surface air temperature data related to the CO2 emissions scenario ssp119 for the timeframe from 210101 to 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,Provide me with the near-surface air temperature data for the ssp119 CO2 emissions scenario from 210101 to 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
2,I'd like to see the near-surface air temperature data for the ssp119 CO2 emissions scenario over the period 210101-215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc
3,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 215101-220012,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,Can you provide me with the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario between 215101 and 220012?,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,I would like to see the near-surface air temperature data related to the ssp119 CO2 emissions scenario for the time period 215101-220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,Please show me the near-surface air temperature data for the ssp119 CO2 emissions scenario from 215101 to 220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,I am interested in examining the near-surface air temperature data for the ssp119 CO2 emissions scenario during the period 215101-220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,Kindly display the near-surface air temperature data associated with the ssp119 CO2 emissions scenario covering the years 215101 to 220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,I need to review the near-surface air temperature data linked to the ssp119 CO2 emissions scenario for the timeframe 215101-220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,"Could you present the near-surface air temperature data for the ssp119 CO2 emissions scenario, specifically for the years 215101-220012?",ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,I would appreciate it if you could show me the near-surface air temperature data for the ssp119 CO2 emissions scenario and the period 215101-220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
3,Show me the near-surface air temperature data regarding the ssp119 CO2 emissions scenario and its projections for the time span 215101 to 220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc
4,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 220101-225012,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,"I would like to see the near-surface air temperature data related to the ssp119 CO2 emissions scenario between 220101 and 225012, please.",ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,Could you provide me with the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario spanning from 220101 to 225012?,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,Please show me the near-surface air temperature data for the ssp119 CO2 emissions scenario covering the period of 220101 to 225012.,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,I am interested in examining the near-surface air temperature data associated with the ssp119 CO2 emissions scenario for the time frame 220101-225012.,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,Kindly display the near-surface air temperature data for the ssp119 CO2 emissions scenario during the interval 220101-225012.,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,"Show me the near-surface air temperature data pertaining to the ssp119 CO2 emissions scenario from 220101 to 225012, if possible.",ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,I am requesting the near-surface air temperature data for the 220101-225012 period under the ssp119 CO2 emissions scenario.,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,Could you please present the near-surface air temperature data for the ssp119 CO2 emissions scenario spanning the years 220101 to 225012?,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
4,I am looking for the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario and covering the time range of 220101-225012.,ssp119,tas,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc
5,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 225101-230012,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,Display the near-surface air temperature information corresponding to the ssp119 emissions scenario with CO2 for the time frame between 225101 to 230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,Share the near-surface air temperature data associated with the ssp119 CO2 emissions scenario from 225101 to 230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,I request the near-surface air temperature data pertaining to the ssp119 CO2 emissions scenario covering the period of 225101 through 230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,Show me the near-surface air temperature data concerning the ssp119 CO2 emissions scenario spanning from 225101 to 230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,Could you provide me with the near-surface air temperature readings for the ssp119 CO2 emissions scenario during 225101-230012?,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,I am interested in viewing the near-surface air temperature data related to the ssp119 CO2 emissions scenario for the period 225101 to 230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,Kindly present the near-surface air temperature data for the ssp119 CO2 emissions scenario representing the timeframe 225101-230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,Display the near-surface air temperature records linked to the ssp119 CO2 emissions scenario for the period 225101-230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
5,I would like to see the near-surface air temperature data for the ssp119 CO2 emissions scenario throughout the time period of 225101-230012.,ssp119,tas,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc
6,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 230101-235012,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,I would like to view the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario between 230101 and 235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,Please provide me with the near-surface air temperature data related to the ssp119 CO2 emissions scenario for the time frame 230101 to 235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,Display the near-surface air temperature data associated with the ssp119 CO2 emissions scenario spanning from 230101 to 235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,I am interested in examining the near-surface air temperature data for the ssp119 CO2 emissions scenario projected for the period 230101 to 235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,Could you show me the near-surface air temperature data attributed to the ssp119 CO2 emissions scenario covering the time range 230101-235012?,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,I would appreciate it if you could present me with data on near-surface air temperature pertaining to the ssp119 CO2 emissions scenario for the period 230101 to 235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,I am seeking information on near-surface air temperature data for the ssp119 CO2 emissions scenario from 230101 to 235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,Show me the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario during the period 230101-235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
6,I request access to the near-surface air temperature data linked to the ssp119 CO2 emissions scenario for the timeframe 230101-235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc
7,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 235101-240012,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,I would like to see the near-surface air temperature data pertaining to the ssp119 CO2 emissions scenario during the time frame from 235101 to 240012.,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,Can you display the near-surface air temperature data for the ssp119 CO2 emissions scenario between 235101 and 240012?,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,Kindly present the near-surface air temperature data related to the ssp119 CO2 emissions scenario covering the period 235101-240012.,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,Could you show me the near-surface air temperature data associated with the ssp119 CO2 emissions scenario from 235101 to 240012?,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,I am interested in viewing the near-surface air temperature data for the ssp119 CO2 emissions scenario within the time range of 235101-240012.,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,Please provide me with the near-surface air temperature data for the ssp119 CO2 emissions scenario for the time period 235101-240012.,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,I am looking for the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario during 235101-240012.,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
7,Kindly show the near-surface air temperature data for the ssp119 CO2 emissions scenario for the timeframe 235101-240012.,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc
