query_id,query,expected_scenario,expected_variable,expected_year_range,expected_file_path,predicted_scenario,predicted_variable,predicted_year_range,scenario_match,variable_match,year_range_match,file_path_match,success,error
164,Could you display the precipitation data for the ssp119 CO2 emissions scenario from 230101 to 235012?,ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
165,I would like to see the precipitation data concerning the ssp119 CO2 emissions scenario specifically for the years 230101 to 235012.,ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
168,Kindly show me the precipitation data for the ssp119 CO2 emissions scenario for the period 230101-235012.,ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
169,Can you provide me with the precipitation data for the ssp119 CO2 emissions scenario for the years 230101 to 235012?,ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
167,Please share the precipitation data linked to the ssp119 CO2 emissions scenario for the timeframe of 230101 to 235012.,ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
171,Could you please provide me with the precipitation data related to the ssp119 CO2 emissions scenario covering the time period from 235101 to 240012?,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
170,Show me precipitation data for a ssp119 CO2 emissions scenario for 235101-240012,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,,pr,235101-240012,False,True,True,False,True,
176,I am interested in examining the precipitation data linked to the ssp119 CO2 emissions scenario between 235101 and 240012.,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
174,Can you show me the precipitation data corresponding to the ssp119 CO2 emissions scenario for the period of 235101-240012?,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
175,Please share the precipitation data associated with the ssp119 CO2 emissions scenario for the time range 235101-240012.,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
172,Kindly present the precipitation data concerning the ssp119 CO2 emissions scenario within the timeframe of 235101-240012.,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
173,I would like to view the precipitation data for the ssp119 CO2 emissions scenario from 235101 to 240012.,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
177,I need access to the precipitation data regarding the ssp119 CO2 emissions scenario for the period spanning 235101 to 240012.,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
179,Sharing precipitation data for the ssp119 CO2 emissions scenario during the interval 235101-240012 would be greatly appreciated.,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,True,True,True,False,True,
507,Could you display the total cloud cover data pertaining to the ssp119 CO2 emissions estimation for the time period 201501-205012?,ssp119,clt,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,clt,201501-205012,True,True,True,False,True,
471,Display the complete soil moisture content information corresponding to the ssp119 CO2 emissions projection for the period between 235101 and 240012.,ssp119,mrso,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,mrso,235101-240012,True,True,True,False,True,
506,Display the total cloud cover information for the ssp119 CO2 emissions model from 201501 to 205012.,ssp119,clt,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,clt,201501-205012,True,True,True,False,True,
472,I would like to see the overall data on soil moisture content for the ssp119 CO2 emissions scenario from 235101 to 240012.,ssp119,mrso,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,mrso,235101-240012,True,True,True,False,True,
426,Kindly show me the total soil moisture content information related to the ssp119 CO2 emissions scenario for the period 210101-215012.,ssp119,mrso,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,mrso,210101-215012,True,True,True,False,True,
166,"I am requesting the precipitation data associated with the ssp119 CO2 emissions scenario, specifically for the time period from 230101 to 235012.",ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
509,Share with me the total cloud cover data concerning the ssp119 CO2 emissions scenario for the time span 201501-205012.,ssp119,clt,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,clt,201501-205012,True,True,True,False,True,
558,Kindly share the total cloud cover data corresponding to the ssp119 CO2 emissions scenario covering the duration from 225101 through 230012.,ssp119,clt,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc,ssp119,clt,225101-230012,True,True,True,False,True,
559,Show me total cloud cover data for a ssp119 CO2 emissions scenario for 225101-230012,ssp119,clt,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc,ssp119,clt,225101-230012,True,True,True,False,True,
602,I am interested in accessing the surface downwelling shortwave radiation data related to the ssp119 CO2 emissions scenario covering the time frame from January 2015 to December 2050.,ssp119,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,rsds,201501-205012,True,True,True,False,True,
554,Please present the total cloud cover data pertaining to the ssp119 CO2 emissions scenario for the time frame 225101-230012.,ssp119,clt,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc,ssp119,clt,225101-230012,True,True,True,False,True,
649,Show me surface downwelling shortwave radiation data for a ssp119 CO2 emissions scenario for 225101-230012,ssp119,rsds,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc,ssp119,rsus,225101-230012,True,False,True,False,True,
651,Please provide me with the surface downwelling shortwave radiation data corresponding to the ssp119 CO2 emissions scenario for the time period from 225101 to 230012.,ssp119,rsds,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc,ssp119,rsds,225101-230012,True,True,True,False,True,
555,I would like to examine the total cloud cover information for the ssp119 CO2 emissions scenario for the specified period of 225101-230012.,ssp119,clt,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc,ssp119,clt,225101-230012,True,True,True,False,True,
605,I need to review the surface downwelling shortwave radiation data for the ssp119 CO2 emissions scenario throughout the years 201501 to 205012.,ssp119,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,rsds,201501-205012,True,True,True,False,True,
700,Show me near-surface specific humidity data for a ssp119 CO2 emissions scenario for 201501-205012,ssp119,huss,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/huss/gn/v20200115/huss_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,huss,201501-205012,True,True,True,False,True,
746,I'd like to examine the specific humidity data close to the surface for the ssp119 CO2 emissions scenario dated between 220101 and 225012,ssp119,huss,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/huss/gn/v20200115/huss_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc,ssp119,huss,220101-225012,True,True,True,False,True,
744,Please provide me with near-surface specific humidity data related to the ssp119 CO2 emission scenario between 220101-225012,ssp119,huss,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/huss/gn/v20200115/huss_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_220101-225012.nc,ssp119,huss,220101-225012,True,True,True,False,True,
697,I am seeking the surface downwelling shortwave radiation data associated with the ssp119 CO2 emissions scenario for the period 245101 through 250012.,ssp119,rsds,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_245101-250012.nc,ssp119,rsds,245101-250012,True,True,True,False,True,
824,Kindly provide me with the evaporation data for the ssp119 CO2 emissions scenario covering the period from 210101 to 215012.,ssp119,evspsbl,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/evspsbl/gn/v20200115/evspsbl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,evspsbl,210101-215012,True,True,True,False,True,
698,Show me the surface downwelling shortwave radiation data for the ssp119 CO2 emissions scenario from the date 245101 to 250012.,ssp119,rsds,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_245101-250012.nc,ssp119,rsds,245101-250012,True,True,True,False,True,
825,Please show me the evaporation data for the ssp119 CO2 emissions scenario between 210101 and 215012.,ssp119,evspsbl,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/evspsbl/gn/v20200115/evspsbl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,"evspsbl, evspsblveg",210101-215012,True,False,True,False,True,
861,Show me evaporation data for a ssp119 CO2 emissions scenario for 225101-230012,ssp119,evspsbl,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/evspsbl/gn/v20200115/evspsbl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_225101-230012.nc,ssp119,evspsbl,225101-230012,True,True,True,False,True,
862,I would like to see the evaporation data corresponding to the ssp119 CO2 emissions scenario for the period between 230101 and 235012.,ssp119,evspsbl,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/evspsbl/gn/v20200115/evspsbl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,evspsbl,230101-235012,True,True,True,False,True,
826,Could you present me with the evaporation data for the ssp119 CO2 emissions scenario for the period 210101-215012?,ssp119,evspsbl,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/evspsbl/gn/v20200115/evspsbl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,evspsbl,210101-215012,True,True,True,False,True,
864,I'm interested in viewing the evaporation dataset concerning the ssp119 CO2 emissions projection for the timespan 230101 to 235012.,ssp119,evspsbl,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/evspsbl/gn/v20200115/evspsbl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,evspsbl,230101-235012,True,True,True,False,True,
908,Show me near-surface air temperature data for a ssp126 CO2 emissions scenario for 201501-205012,ssp126,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc,ssp126,tas,201501-205012,True,True,True,False,True,
909,Provide me with the near-surface air temperature data pertaining to the ssp126 CO2 emissions scenario from 205101 to 210012.,ssp126,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc,ssp126,tas,205101-210012,True,True,True,False,True,
997,I'm interested in viewing the near-surface air temperature data regarding the ssp126 CO2 emissions scenario for the duration 245101-250012.,ssp126,tas,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc,ssp126,tas,245101-250012,True,True,True,False,True,
1081,I'm interested in seeing precipitation data for the ssp126 CO2 emissions scenario covering the period from 240101 to 245012.,ssp126,pr,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc,ssp126,pr,240101-245012,True,True,True,False,True,
998,Display the near-surface air temperature data for the specified ssp126 CO2 emissions scenario from 245101 to 250012.,ssp126,tas,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc,ssp126,tas,245101-250012,True,True,True,False,True,
1082,Could you show me the precipitation data linked to the ssp126 CO2 emissions scenario from 240101 through 245012?,ssp126,pr,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc,ssp126,pr,240101-245012,True,True,True,False,True,
1124,Show me the sea level pressure data for the ssp126 CO2 emissions scenario throughout the period of 210101 to 215012.,ssp126,psl,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/psl/gn/v20200115/psl_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc,ssp126,psl,210101-215012,True,True,True,False,True,
1169,Show me sea level pressure data for a ssp126 CO2 emissions scenario for 235101-240012,ssp126,psl,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/psl/gn/v20200115/psl_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc,ssp126,psl,235101-240012,True,True,True,False,True,
1173,I am interested in the sea level pressure data related to the ssp126 CO2 emissions scenario covering the period from 235101 to 240012.,ssp126,psl,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/psl/gn/v20200115/psl_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc,ssp126,psl,235101-240012,True,True,True,False,True,
1174,Could you display the sea level pressure data pertaining to the ssp126 CO2 emissions scenario for the interval 235101-240012?,ssp126,psl,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/psl/gn/v20200115/psl_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc,ssp126,psl,235101-240012,True,True,True,False,True,
1303,I am interested in viewing the total soil moisture content data for the ssp126 CO2 emissions scenario from January 2015 to December 2050.,ssp126,mrso,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc,ssp126,mrso,201501-205012,True,True,True,False,True,
1306,I would like you to show me the total soil moisture content data related to the ssp126 CO2 emissions scenario from January 2015 to December 2050.,ssp126,mrso,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc,ssp126,mrso,201501-205012,True,True,True,False,True,
1339,I request the total soil moisture content data for the ssp126 CO2 emissions scenario from 215101 to 220012.,ssp126,mrso,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc,ssp126,mrso,215101-220012,True,True,True,False,True,
1215,Could you display the sea surface temperature data associated with the ssp126 CO2 emissions scenario for the years 205101 to 210012?,ssp126,tos,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Omon/tos/gn/v20200115/tos_Omon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc,ssp126,tos,205101-210012,True,True,True,False,True,
